year,nameplate_cap,summer_cap,num_facilities,num_generators,state,tot_nameplate_cap,tot_summer_cap,tot_num_gen,tot_num_facilities,tot_cap_change,tot_cap_growth_rate,p_nameplate_cap,p_summer_cap,cap_change,cap_growth_rate,energy_source
1999,14515.6,13145.5,0,0,GA,26666.2,24988.1,0,131,179.20000000000073,0.6720117602058063,0.5443445260292055,0.5260704095149291,-92,-0.0063380087629860285,Coal
2000,14829,13731,0,0,GA,29427,27756,0,133,2760.7999999999993,9.381860196418252,0.5039249668671628,0.4947038478166883,313.39999999999964,0.021134263942275248,Coal
2001,14909,13816,0,0,GA,31605,29482,0,134,2178,6.891314665401044,0.4717291567789907,0.4686249236822468,80,0.005365886377355959,Coal
2002,14909,13815,0,0,GA,37176,34601,0,139,5571,14.985474499677212,0.40103830428233267,0.39926591717002397,0,0,Coal
2003,14765,13648,0,0,GA,37626,34815,0,135,450,1.1959815021527667,0.39241481953968,0.3920149360907655,-144,-0.009752793769048425,Coal
2004,14594,13488,0,0,GA,38498,35338,0,134,872,2.265052730011949,0.37908462777287133,0.3816854377723697,-171,-0.011717144031793887,Coal
2005,14594,13465,0,0,GA,39792,36531,0,134,1294,3.2519099316445517,0.3667571371129875,0.36859105964797023,0,0,Coal
2006,14565,13438,0,0,GA,39758,36499,0,131,-34,-0.08551738014990694,0.3663413652598219,0.36817447053343927,-29,-0.001991074493649159,Coal
2007,14397,13275,0,0,GA,39767,36472,0,133,9,0.022631830412150777,0.36203384715970527,0.3639778460188638,-168,-0.011669097728693479,Coal
2008,14441,13256,14,0,GA,39641,36456,0,131,-126,-0.3178527282359173,0.36429454352816526,0.36361641430765856,44,0.0030468804099439096,Coal
2009,14441,13211,14,0,GA,39639,36549,0,130,-2,-0.005045535962057569,0.3643129241403668,0.36145995786478424,0,0,Coal
2010,14441,13230,14,0,GA,39665,36636,0,132,26,0.06554897264590949,0.3640741207613765,0.36112020962987224,0,0,Coal
2011,14147.4,12988.1,15,0,GA,40208.1,37114.2,0,117,543.0999999999985,1.3507228642984834,0.35185447708297585,0.34994961497216703,-293.60000000000036,-0.02075292986697205,Coal
2012,13848.2,12737.1,14,0,GA,41554.1,38488.1,0,120,1346,3.2391508900445447,0.3332571274555339,0.33093605556003025,-299.1999999999989,-0.02160569604713962,Coal
2013,13489.2,12412.1,14,0,GA,41265.3,38210.3,0,125,-288.79999999999563,-0.6998616270813386,0.3268896627432734,0.3248364969654779,-359,-0.026613883699552233,Coal
2014,13444.2,12314.4,13,0,GA,41272.4,38249.7,0,129,7.099999999998545,0.017202779581508572,0.3257431116193873,0.3219476231186127,-45,-0.003347168295621904,Coal
2015,10272.9,9508.5,7,0,GA,39045.2,36302.6,0,135,-2227.2000000000044,-5.704158257609142,0.263102762951656,0.2619233884074419,-3171.300000000001,-0.3087054288467717,Coal
2016,10109.7,9360.5,6,0,GA,39753,37077.5,0,158,707.8000000000029,1.7804945538701555,0.254312882046638,0.2524576899737037,-163.1999999999989,-0.016142912252588987,Coal
2017,10109.7,9360.5,6,0,GA,39829.7,37097.3,0,161,76.69999999999709,0.19256986620536207,0.2538231520699378,0.25232294533564437,0,0,Coal
2018,10097.2,9398.5,5,0,GA,39657.4,36988.6,0,164,-172.29999999999563,-0.4344712462238967,0.2546107409966362,0.2540918012576848,-12.5,-0.001237966961137741,Coal
1991,1991.3,1987.8,35,0,GA,23947.3,21730.8,0,97,1645.5999999999985,6.871755897324536,0.08315342439439936,0.09147385278038545,-2.7999999999999545,-0.0014061166072414778,Hydroelectric
