,year,month,state,residential_price,perc_residential_rev,perc_commercial_rev,perc_industrial_rev
11677,2009,1,WV,7.42,0.5273007557902529,0.2184903874537881,0.2540636025845871
11678,2009,1,WY,7.82,0.29600515463917526,0.297282099343955,0.40670103092783505
11679,2009,2,AK,16.93,0.41696173685048826,0.4339063208321592,0.14911969026819735
11680,2009,2,AL,10.64,0.481063455806805,0.2842035544762115,0.23473468798559868
11681,2009,2,AR,9.04,0.5107192947305149,0.24435836357294982,0.2449037897845752
11682,2009,2,AZ,9.82,0.4546428229893851,0.42144974658123746,0.12390982117242039
11683,2009,2,CA,14.14,0.40129203250892936,0.4492823608545859,0.14716025493646673
11684,2009,2,CO,9.44,0.4210965364581623,0.381074991953653,0.196990994659853
11685,2009,2,CT,20.04,0.49069675214234315,0.40885229279780205,0.09616422450448094
11687,2009,2,DE,13.15,0.4791009236295924,0.3449315723125345,0.17597574339411218
11688,2009,2,FL,12.74,0.5615541640726018,0.37439338792841975,0.06370324697093051
11689,2009,2,GA,9.79,0.49184198077420854,0.3490476360488053,0.15796120924337495
11690,2009,2,HI,23.49,0.3434597627100446,0.35280775218768456,0.3037324851022709
11691,2009,2,IA,8.96,0.4399419795085087,0.2653836444722259,0.2946743760192654
11692,2009,2,ID,7.23,0.5347748206475782,0.266905500140936,0.19831967921148583
11693,2009,2,IL,11.47,0.4021649935720342,0.360279665355023,0.23333417997522596
11694,2009,2,IN,9.16,0.4373377730404519,0.24623172690886416,0.3161432911376852
11695,2009,2,KS,9.22,0.4062049514258853,0.3835877691722255,0.21020727940188924
11696,2009,2,KY,8.26,0.4268978594201913,0.2286632077094476,0.3444389328703611
11697,2009,2,LA,8.85,0.41419694822956715,0.3143310988843102,0.2713463828504817
11698,2009,2,MA,18.0,0.43050648215215753,0.3108099242599716,0.25571932943899894
11699,2009,2,MD,14.76,0.5311260838745248,0.40229985464804063,0.060316051009229495
11700,2009,2,ME,16.19,0.45634562089518244,0.36216544550320795,0.18148893360160967
11701,2009,2,MI,10.64,0.40627150434293674,0.3843837599202142,0.20923802631344934
11702,2009,2,MN,9.53,0.45271148619057217,0.3235315245172667,0.2234325795441116
11703,2009,2,MO,7.48,0.5377199251478706,0.3325395183509963,0.12950311727147062
11704,2009,2,MS,10.1,0.46579680577335913,0.2849134452885918,0.24928974893804906
